CustomerID,Lookalikes
C0001,"[('C0107', 0.9967642100788345), ('C0174', 0.990685513141159), ('C0048', 0.9890897504723815)]"
C0002,"[('C0142', 0.9788043802105918), ('C0177', 0.9714157533774861), ('C0186', 0.9659375139190851)]"
C0003,"[('C0091', 0.9085105371083956), ('C0120', 0.9046612483878973), ('C0129', 0.9029278508098123)]"
C0004,"[('C0113', 0.9842188611593088), ('C0104', 0.9688308672082444), ('C0102', 0.9648350190966035)]"
C0005,"[('C0186', 0.99859765710602), ('C0140', 0.9758574566936928), ('C0159', 0.9744528481996161)]"
C0006,"[('C0168', 0.98071680157083), ('C0171', 0.9275698777497664), ('C0133', 0.9156066371151281)]"
C0007,"[('C0159', 0.9945894695573904), ('C0115', 0.9928991174106917), ('C0092', 0.9734932683992156)]"
C0008,"[('C0098', 0.9389479326721649), ('C0139', 0.9358273409058979), ('C0049', 0.9228762637300977)]"
C0009,"[('C0198', 0.9587849704811677), ('C0119', 0.9386948539845161), ('C0103', 0.9114194597852756)]"
C0010,"[('C0166', 0.9739204267311865), ('C0197', 0.9689891379875436), ('C0073', 0.9547971351547245)]"
C0011,"[('C0107', 0.9804514533426689), ('C0048', 0.9804432170482847), ('C0001', 0.9746324723960335)]"
C0012,"[('C0153', 0.9712111707843792), ('C0013', 0.9706216667811558), ('C0102', 0.9702964348579891)]"
C0013,"[('C0102', 0.9888205438178503), ('C0155', 0.9881403642052813), ('C0104', 0.9856954831069602)]"
C0014,"[('C0060', 0.9995586106552422), ('C0063', 0.9606566048678763), ('C0198', 0.9530682366249887)]"
C0015,"[('C0033', 0.9877000120811595), ('C0131', 0.9675804158287887), ('C0042', 0.9673654320452493)]"
C0016,"[('C0154', 0.9589278510927512), ('C0183', 0.9514714985494587), ('C0189', 0.9439516161314909)]"
C0017,"[('C0124', 0.9773113276001033), ('C0075', 0.9583721690699057), ('C0051', 0.9352648536789463)]"
C0018,"[('C0079', 0.9014124010970632), ('C0117', 0.895914311609482), ('C0026', 0.8758307289312282)]"
C0019,"[('C0172', 0.9953312489401878), ('C0127', 0.9745073538779415), ('C0069', 0.9503600196260966)]"
C0020,"[('C0036', 0.9405677539909991), ('C0050', 0.894779078219975), ('C0033', 0.885648626472459)]"
